snapped_at,price,market_cap,total_volume
2023-04-12 00:00:00 UTC,64.92371626267197,0.0,6349.236779365917
2023-04-13 00:00:00 UTC,64.92371626267197,0.0,6349.236779365917
2023-04-14 00:00:00 UTC,65.7510334261284,0.0,6048.587562550587
2023-04-15 00:00:00 UTC,64.78482787246821,0.0,12128.578648285262
2023-04-16 00:00:00 UTC,64.69320161733592,0.0,12510.883759318462
2023-04-17 00:00:00 UTC,64.52326521830071,0.0,11869.386844835068
2023-04-18 00:00:00 UTC,64.39760448584391,0.0,13197.899958411914
2023-04-19 00:00:00 UTC,64.5355855890761,0.0,11985.003615204267
2023-04-20 00:00:00 UTC,64.34714708193916,0.0,13317.447470876457
2023-04-21 00:00:00 UTC,64.4041692018004,0.0,12564.338872128985
2023-04-22 00:00:00 UTC,63.78878087330862,0.0,12822.479592680684
2023-04-23 00:00:00 UTC,63.648992800591174,0.0,21029.310503515782
2023-04-24 00:00:00 UTC,63.829095984889385,0.0,70644.7953707855
2023-04-25 00:00:00 UTC,64.30449299631184,0.0,193222.7020665348
2023-04-26 00:00:00 UTC,64.61052066408094,0.0,262635.92573261267
2023-04-27 00:00:00 UTC,64.01162256932466,0.0,1027633.2482371498
2023-04-28 00:00:00 UTC,63.895296283082274,78954548.61883172,2921486.710272336
2023-04-29 00:00:00 UTC,64.5811824914217,79854885.20581599,945021.624691459
2023-04-30 00:00:00 UTC,64.09692522226977,79261415.48504831,77216.64286473946
2023-05-01 00:00:00 UTC,64.02806745119521,79004083.44242196,31228.01632526804
2023-05-02 00:00:00 UTC,63.76927659902976,77337027.01490712,114433.32041994053
2023-05-03 00:00:00 UTC,64.84051406436828,78472249.35736763,226592.52450977315
2023-05-04 00:00:00 UTC,65.97034836751406,80127090.93933995,1841221.2672560234
2023-05-05 00:00:00 UTC,65.86609306831646,80021612.76792027,1312590.5911483457
2023-05-06 00:00:00 UTC,64.8564239222693,78803754.49649453,156029.87400507514
2023-05-07 00:00:00 UTC,65.39828650174918,79177632.28084856,58723.154557404574
