snapped_at,price,market_cap,total_volume
2019-09-16 00:00:00 UTC,1502.6000230453196,0.0,1603273.7257261483
2019-09-17 00:00:00 UTC,1597.0231539780154,0.0,2473519.030244896
2019-09-18 00:00:00 UTC,1507.869423662994,0.0,2153964.46425334
2019-09-19 00:00:00 UTC,1503.8634916056137,0.0,2703750.072126261
2019-09-20 00:00:00 UTC,1518.5827931962083,0.0,8353192.855145371
2019-09-21 00:00:00 UTC,1508.6632919672177,0.0,2661264.1338590975
2019-09-22 00:00:00 UTC,1516.4875323000297,0.0,2425875.2728418424
2019-09-23 00:00:00 UTC,1504.6320415649332,0.0,2077997.8120116438
2019-09-24 00:00:00 UTC,1517.4341499555876,0.0,7792004.803154364
2019-09-25 00:00:00 UTC,1545.6478159637784,0.0,11315980.259456158
2019-09-26 00:00:00 UTC,1510.1913942651797,0.0,4814879.7615335155
2019-09-27 00:00:00 UTC,1508.892491316183,0.0,5310818.850411454
2019-09-28 00:00:00 UTC,1515.003672984527,0.0,2567637.036027484
2019-09-29 00:00:00 UTC,1523.6603120938921,0.0,2199667.8124995157
2019-09-30 00:00:00 UTC,1521.5201645739287,0.0,1596713.4495218995
2019-10-01 00:00:00 UTC,1509.9664657056605,0.0,3034422.6766117667
2019-10-02 00:00:00 UTC,1460.591868224403,0.0,890460.1371837473
2019-10-03 00:00:00 UTC,1460.591868224403,0.0,890460.1371837473
2019-10-04 00:00:00 UTC,1505.016114604156,0.0,1673431.2616395175
2019-10-05 00:00:00 UTC,1500.4474130711196,0.0,1558589.7413249412
2019-10-06 00:00:00 UTC,1495.6555986174515,0.0,1320594.3361756785
2019-10-07 00:00:00 UTC,1521.0869642741904,0.0,3299210.282451449
2019-10-08 00:00:00 UTC,1519.2722842251571,0.0,3983317.4344812143
2019-10-09 00:00:00 UTC,1518.6586985229756,0.0,2231699.1910367673
2019-10-10 00:00:00 UTC,1512.7327548221867,0.0,5649493.390241117
2019-10-11 00:00:00 UTC,1532.173553742262,0.0,3316134.5501060016
2019-10-12 00:00:00 UTC,1525.5012712041737,0.0,4807114.872112813
2019-10-13 00:00:00 UTC,1516.5982618079804,0.0,1189462.5582952122
2019-10-14 00:00:00 UTC,1521.8421703544668,0.0,1971986.9786896294
2019-10-15 00:00:00 UTC,1530.453598855443,0.0,1852175.819191492
2019-10-16 00:00:00 UTC,1526.5476962588223,0.0,2825271.7183334874
2019-10-17 00:00:00 UTC,1518.2539504216297,0.0,2505111.1475672103
2019-10-18 00:00:00 UTC,1509.324462296757,0.0,2314133.1700858157
2019-10-19 00:00:00 UTC,1520.2359063129175,0.0,5278738.438146079
2019-10-20 00:00:00 UTC,1519.1525492163566,0.0,4370753.811578638
2019-10-21 00:00:00 UTC,1528.802877652011,0.0,6791479.8417298235
2019-10-22 00:00:00 UTC,1523.4581968196421,0.0,5116865.105263704
2019-10-23 00:00:00 UTC,1508.0660919283703,0.0,1866664.1863766524
2019-10-24 00:00:00 UTC,1492.4429411631027,0.0,15956349.383348122
2019-10-25 00:00:00 UTC,1471.14120519537,0.0,4315862.641943169
2019-10-26 00:00:00 UTC,1521.0109689034614,0.0,1206674.702783158
2019-10-27 00:00:00 UTC,1508.9248860568364,0.0,669.4948826945578
2019-10-28 00:00:00 UTC,1512.234255708932,0.0,125380.99896883132
2019-10-29 00:00:00 UTC,1506.5273601337942,0.0,548005.0285763061
2019-10-30 00:00:00 UTC,1536.4914821844498,0.0,1075262.4139392045
2019-10-31 00:00:00 UTC,1493.884285739601,0.0,860577.7937999993
2019-11-01 00:00:00 UTC,1487.8479937258012,0.0,978975.8609411384
2019-11-02 00:00:00 UTC,1515.4213476343768,0.0,4923300.611435532
2019-11-03 00:00:00 UTC,1510.8899381565582,0.0,2505360.3181634545
2019-11-04 00:00:00 UTC,1484.0286007773766,0.0,3405781.933568526
2019-11-05 00:00:00 UTC,1477.669396777444,0.0,9247788.456927199
2019-11-06 00:00:00 UTC,1477.459044931216,0.0,9556343.656563794
2019-11-07 00:00:00 UTC,1503.1917487091034,0.0,6725962.999771262
2019-11-08 00:00:00 UTC,1475.8194489306306,0.0,6524101.757894864
2019-11-09 00:00:00 UTC,1451.5600695863739,0.0,14179628.843175795
2019-11-10 00:00:00 UTC,1465.8287762783193,0.0,10417.224620183428
2019-11-11 00:00:00 UTC,1468.6713173068413,0.0,35119.070319050086
2019-11-12 00:00:00 UTC,1457.4218534132583,0.0,245131.375890358
2019-11-13 00:00:00 UTC,1455.7547222494761,0.0,8191525.807285014
2019-11-14 00:00:00 UTC,1478.7746781395647,0.0,5992849.16102885
2019-11-15 00:00:00 UTC,1477.2055857479595,0.0,7549999.769464912
2019-11-16 00:00:00 UTC,1554.7342400042369,0.0,15670175.725202456
2019-11-17 00:00:00 UTC,1550.526892682338,0.0,4954143.252491921
2019-11-18 00:00:00 UTC,1416.667032134804,0.0,8499511.514759043
2019-11-19 00:00:00 UTC,1505.4908666909794,0.0,13551021.835794551
2019-11-20 00:00:00 UTC,1484.1795753163674,0.0,10296082.61797224
2019-11-21 00:00:00 UTC,1452.231162613262,0.0,10043979.666076666
2019-11-22 00:00:00 UTC,1462.2400652512304,0.0,3033720.381619737
2019-11-23 00:00:00 UTC,1468.3078461338537,0.0,3859286.092192239
2019-11-24 00:00:00 UTC,1506.7551383159853,0.0,985093.3746210096
2019-11-25 00:00:00 UTC,1450.818941301206,0.0,1331448.752531246
2019-11-26 00:00:00 UTC,1472.7734384036128,0.0,1774436.121373722
2019-11-27 00:00:00 UTC,1517.1791743240296,0.0,629597.6895088401
